O.K.	they gave us the O.K. to go ahead
optics	"After devising chronophotography devices, Bouly applied a patent on a reversible device of photography and optics for the analysis and synthesis of motions, calling it the ""Cynématographe Léon Bouly"" on February 12, 1892."
optics	Each provided space for different configurations of lamps or burners and optics to be tried.
optics	The acquisition aimed to expand Avago Technologies' fiber optics product portfolio.
optics	Sodern is a French company based in Limeil-Brévannes, near Paris in Ile-de-France, specialized in space instrumentation, optics and neutron analyzers.
optics	During the 1980s, Sodern designed the focal plans and the optics for the Meris instrument of the European Space Agency satellite Envisat, provided the cameras for the programs Iasi (CNES) and CALIPSO (CNES/NASA), and the dioptric objective of the Corot instrument, which doesn't observe the Earth but looks into Space searching for exoplanets or studying the seismic activity of the stars.
optics	It involves in design and development of optics and sensor modules that can be deployed either onboard satellite or with the launch vehicle.
optics	Tim C. Ralph is an Australian physicist who specializes in the application of quantum optics to quantum information science and quantum computing.
optics	Vittorio Francesco Stancari (1678 – 1709) was a professor of mathematics at the University of Bologna who undertook research into the measurement of sounds, and into optics and hydrostatics.
optics	His research contributions in various fields including low angle scattering, thermal diffuse scattering of X-rays from crystals, diffraction of X-rays by liquids., jute fibre and organic polymers, structures of coal and glass, determination of the elastic constants of crystals by X-rays, theoretical modelling of the vibrational spectra of crystal lattices and some topics in crystal optics have received international recognition.
optics	Vertel's fixed wireless services branded as Etherwave CE VPN use a combination of microwave solutions and fibre optics to connect multiple points into a private scalable network.
optics	"He stressed the statement made by Émile Bernard that Cézanne's optics were ""not in the eye, but in his brain""."
optics	"Maxwell's equations can be derived from the Fermat's principle of geometrical optics by the process of ""wavization"" analogous to the quantization of classical mechanics."
optics	Historically, the geometrical optics is based on the Fermat's principle of least time.
optics	A new formalism of light beam optics has been developed, starting with the Maxwell's equations in a matrix form: a single entity containing all the four Maxwell's equations.
optics	As of such, it was targeted in the STEPS astrometric survey, which found that the star's motion was deviating from linear motion; adaptive optics observations confirmed that HD 43587 B was itself a binary with a fourth component, HD 43587 C. While the orbital period of the binary was too long to constrain the two components' dynamical masses, photometric analysis found that they were both late M-dwarfs.
optics	It uses 1.2 m optics with 60% of weight removal compared to Cartosat-2.
optics	In 2013 an attempt to directly image the secondary using adaptive optics imaging at the W. M. Keck Observatory resulted in a non-detection, thus effectively eliminating the possibility of the companion being a low inclination stellar binary.
optics	This instrument uses scanning optics and four spectrometers to image a 614-pixel swath simultaneously in 224 adjacent spectral bands.
optics	Wood's knowledge of photography may date from his friendship in the 1840s with the eye surgeon Dr. Jasper MacAldin, who shared his knowledge of optics and chemistry.
optics	However, a multi-lens trimetrogon had been used in the 1919 U.S. Bagley mapping camera, and Germany had heated optics during the Great War.
optics	Leading up to the war, the United States developed an indigenous high-quality optics capability led by Bausch &amp; Lomb of Rochester, N.Y.; however this company had been allied to Germany's Zeiss-Jena.
optics	The Soviets had virtually no interest in long-range air power or strategic reconnaissance, and had no advanced optics capabilities.
optics	While German optics were superior, experts noted that standard German reconnaissance cameras, though excellent, were heavy and not optimized for aerial use.
optics	Leica seemed to be the main camera manufacturer while optics production was concentrated at ISCO Göttingen (Schneider) and Zeiss.
optics	The new optics permit the Navigation Doppler Lidar to accurately measure the vehicle's velocity relative to the ground.
optics	On November 13, 2014 a swing test of the new optics for the ALHAT Navigation Lidar was performed.
optics	A renowned scientific school on nuclear optics of polarized media, founded by Prof. V.G.
optics	He uses different techniques and materials such as polyurethane, metal, stone, marble, installation, video and fiber optics and has had international exhibitions in Paris, New York, Budapest, Madrid and Palma de Mallorca.
optics	The squeeze operator is ubiquitous in quantum optics and can operate on any state.
optics	Thin-film deposition is a process applied in the semiconductor industry to grow electronic materials, in the aerospace industry to form thermal and chemical barrier coatings to protect surfaces against corrosive environments, in optics to impart the desired reflective and transmissive properties to a substrate and elsewhere in industry to modify surfaces to have a variety of desired properties.
optics	In the course of eight years of after-hours experimentation, Steenblik created plastic prisms, glass double prisms, Fresnel prisms, and liquid optics using glycerin and Chinese cinnamon oil held in wedge-shaped glass cells.
optics	Researchers at the Massachusetts Institute of Technology (MIT) had developed binary optics; a way of making very thin diffractive optics with the efficiency of refractive optics.
